TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4,
9.605848263,153.739276,0.677983781,3,5,4,2,1,982,0.183448222,929,0.032941829,994,0.082705236,973,0.4504949,911,0.076360452,0.02652552,9.321332497,0.017908236,9.438294894,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,10.27438851,227.2812017,0.88530656,5,3,4,2,1,1005,0.016610779,938,0.517574003,944,0.26746106,945,0.482308745,914,0.315691599,0.149584243,9.621221324,0.232708588,10.18761811,
10.85796542,194.3947317,0.787040907,3,5,4,2,1,965,0.284141301,931,0.102304514,988,0.219268475,984,0.350149172,935,0.085837482,0.11652312,1.516283513,0.03355122,1.281943473,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,11.40597082,200.0790187,0.751861197,5,3,4,2,1,1002,0.033531776,932,0.396817435,958,0.334394596,953,0.364775762,918,0.11878917,0.118596788,1.319339782,0.029627695,1.283380418,
12.02343562,188.931754,0.769089856,4,5,3,2,1,971,0.199223248,944,5.58E-07,972,0.11649111,988,0.368259471,909,0.150133173,0.14986255,1.51720058,1.251296124,0.117051722,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,12.522335,183.6976537,0.701192753,5,3,4,2,1,998,0.032923426,931,0.431230303,943,0.384098245,943,0.368656579,915,0.168983878,0.116397218,1.21713902,0.014367984,1.500518095,
13.00658778,166.3907843,0.634352926,3,5,4,2,1,964,0.19861428,955,5.25E-07,972,0.098215313,991,0.26665229,917,0.066209789,0.116911528,1.334908947,5.15E-04,1.11555578,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,13.42541839,183.2318087,0.553981655,5,3,4,2,1,1003,0.168043928,926,0.197902073,940,0.183982556,933,0.165498031,921,0.151853974,0.117896814,1.06919884,0.032340885,1.133500835,
13.84111016,133.384525,0.420010383,3,4,5,2,1,947,0.235822963,946,0.166675994,967,0.08277935,958,0.09946993,975,0.01804154,0.033875157,0.981534258,6.05E-04,3.82E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,14.19123231,133.384525,0.369978485,5,2,3,4,1,1004,0.048432431,926,0.115870395,925,0.115371656,930,0.08115324,911,0.083131567,0.117402603,4.99E-04,4.22E-04,0.916745358,
