Time,inByte1_0,inByte1_1,inByte1_2,inByte1_3,inByte1_4,inByte2_0,inByte2_1,inByte2_2,inByte2_3,inByte2_4
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
20,1023,1023,1023,1021,1022,0,0,0,0,0
20,1023,1023,1023,1023,1023,0,0,0,0,0
20,1023,1023,1023,1023,1023,0,0,0,0,0
20,1023,1023,1023,1023,1023,0,0,0,0,0
20,1023,1023,1023,1023,1023,0,0,0,0,0
20,1023,1023,1023,1023,1023,0,0,0,0,0
20,1022,1023,1023,1023,1023,0,0,0,0,0
20,1023,1023,1023,1023,1023,0,0,0,0,0
20,1023,1023,1023,1023,1023,0,0,0,0,0
20,1023,1023,1023,1023,1023,0,0,0,0,0
20,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1022,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1022,1023,1023,1023,1023,0,0,0,0,0
21,1021,1023,1023,1023,1023,0,0,0,0,0
21,1022,1023,1023,1023,1023,0,0,0,0,0
21,1022,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1022,1023,1023,1023,0,0,0,0,0
21,1023,1022,1023,1023,1023,0,0,0,0,0
21,1023,1022,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1022,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1022,1023,1023,0,0,0,0,0
21,1023,1023,1021,1023,1023,0,0,0,0,0
21,1023,1023,1022,1023,1023,0,0,0,0,0
21,1023,1023,1022,1023,1023,0,0,0,0,0
21,1022,1023,1023,1023,1023,0,0,0,0,0
21,1021,1022,1023,1023,1023,0,0,0,0,0
21,1021,1022,1023,1022,1023,0,0,0,0,0
21,1022,1023,1023,1022,1023,0,0,0,0,0
21,1022,1023,1023,1022,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1022,1023,1023,1023,0,0,0,0,0
21,1023,1021,1022,1023,1023,0,0,0,0,0
21,1023,1022,1023,1023,1022,0,0,0,0,0
21,1023,1023,1023,1023,1022,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1022,1023,1023,0,0,0,0,0
21,1023,1023,1021,1022,1023,0,0,0,0,0
21,1023,1023,1021,1022,1023,0,0,0,0,0
21,1023,1023,1022,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1022,1023,0,0,0,0,0
21,1023,1023,1023,1021,1022,0,0,0,0,0
21,1023,1023,1023,1021,1022,0,0,0,0,0
21,1023,1023,1023,1022,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1022,0,0,0,0,0
21,1023,1023,1023,1023,1021,0,0,0,0,0
21,1023,1023,1023,1023,1021,0,0,0,0,0
21,1023,1023,1023,1023,1022,0,0,0,0,0
21,1023,1023,1023,1023,1022,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
21,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1022,1023,0,0,0,0,0
22,1022,1023,1023,1022,1023,0,0,0,0,0
22,1022,1023,1023,1022,1023,0,0,0,0,0
22,1022,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1022,1023,1023,1023,0,0,0,0,0
22,1023,1022,1023,1023,1023,0,0,0,0,0
22,1023,1022,1023,1023,1022,0,0,0,0,0
22,1023,1022,1023,1023,1023,0,0,0,0,0
22,1023,1022,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1022,1023,1023,1023,1023,0,0,0,0,0
22,1022,1023,1022,1023,1023,0,0,0,0,0
22,1023,1023,1022,1023,1023,0,0,0,0,0
22,1023,1023,1022,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1022,1022,1023,1023,1023,0,0,0,0,0
22,1022,1023,1023,1022,1023,0,0,0,0,0
22,1023,1023,1023,1022,1023,0,0,0,0,0
22,1023,1023,1023,1022,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1021,1022,1023,1023,0,0,0,0,0
22,1023,1022,1022,1023,1022,0,0,0,0,0
22,1023,1022,1023,1023,1021,0,0,0,0,0
22,1023,1023,1023,1023,1022,0,0,0,0,0
22,1023,1023,1023,1023,1022,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1021,1022,1023,0,0,0,0,0
22,1023,1023,1022,1022,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1022,1022,0,0,0,0,0
22,1023,1023,1023,1022,1022,0,0,0,0,0
22,1023,1023,1023,1022,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1022,0,0,0,0,0
22,1023,1023,1023,1023,1021,0,0,0,0,0
22,1023,1020,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1022,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1022,1023,1023,0,0,0,0,0
22,1023,1022,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1021,1022,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1022,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1022,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1022,0,0,0,0,0
22,1022,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1020,1022,0,0,0,0,0
22,1023,1022,1023,1023,1023,0,0,0,0,0
22,1022,1023,1023,1023,1023,0,0,0,0,0
22,1022,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1022,0,0,0,0,0
22,1023,1022,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1020,0,0,0,0,0
22,1023,1022,1023,1023,1023,0,0,0,0,0
22,1023,1022,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1022,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1022,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1023,1023,1023,1023,1023,0,0,0,0,0
22,1021,1023,1023,1023,1023,0,0,0,0,0
22,1022,1022,1023,1022,1023,0,0,0,0,0
22,1021,1022,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1022,1023,1023,1022,1023,0,0,0,0,0
23,1022,1023,1023,1022,1023,0,0,0,0,0
23,1023,1021,1022,1023,1022,0,0,0,0,0
23,1023,1021,1023,1023,1023,0,0,0,0,0
23,1023,1022,1022,1023,1022,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1021,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1022,0,0,0,0,0
23,1023,1023,1021,1023,1023,0,0,0,0,0
23,1023,1023,1021,1022,1023,0,0,0,0,0
23,1023,1023,1022,1022,1023,0,0,0,0,0
23,1023,1023,1023,1022,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1020,1023,1023,1022,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1022,1023,0,0,0,0,0
23,1023,1023,1023,1022,1023,0,0,0,0,0
23,1023,1022,1022,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1022,0,0,0,0,0
23,1023,1023,1023,1023,1021,0,0,0,0,0
23,1023,1023,1023,1023,1021,0,0,0,0,0
23,1023,1022,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1022,1023,1023,1023,1023,0,0,0,0,0
23,1019,1022,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1022,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1020,0,0,0,0,0
23,1023,1023,1021,1022,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1022,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1022,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1022,1023,1023,1023,0,0,0,0,0
23,1022,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1022,0,0,0,0,0
23,1023,1023,1021,1023,1023,0,0,0,0,0
23,1023,1022,1023,1023,1023,0,0,0,0,0
23,1023,1022,1023,1023,1022,0,0,0,0,0
23,1023,1022,1023,1023,1022,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1022,1023,1022,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1022,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1022,1023,1023,1023,1023,0,0,0,0,0
23,1021,1022,1023,1022,1023,0,0,0,0,0
23,1021,1023,1023,1023,1023,0,0,0,0,0
23,1022,1022,1023,1023,1023,0,0,0,0,0
23,1021,1022,1023,1022,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1022,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1022,1023,0,0,0,0,0
23,1023,1022,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1022,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1022,0,0,0,0,0
23,1023,1023,1021,1022,1023,0,0,0,0,0
23,1023,1023,1021,1023,1023,0,0,0,0,0
23,1023,1023,1022,1023,1023,0,0,0,0,0
23,1023,1023,1020,1022,1023,0,0,0,0,0
23,1023,1023,1022,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
23,1023,1023,1023,1023,1023,0,0,0,0,0
