TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
10.63162581,0.672205917,1.207567889,0,2,0,3,1,2000,0,993,0.905669752,2000,0,1005,0.099513503,928,0.855674936,0.234252951,0.790244938,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,11.4661762,144.3619475,2.034050805,5,2,3,4,1,1000,0.484297937,959,0.550377946,962,0.648651615,959,0.948887924,923,0.533015534,0.615721453,3.15E-04,2.20E-04,10.17962968
,,,,,,,,,,,,,,,,,,,,,,,11.61658275,35.97208625,0.020449818,0,0,0,0,1,2000,0.484297937,2000,0.550377946,2000,0.648651615,2000,0.948887924,1015,5.47E-07,0.615721453,3.15E-04,2.20E-04,10.17962968
11.99893295,51.46959,0.834464222,4,2,0,3,1,1004,0.150273326,991,0.716773958,2000,0,999,0.565196718,926,0.098321191,0.016579269,0.050813292,1.382741735,0,,,,,,,,,,,,,,,,,,,,,,,
13.46434158,65.172233,0.900171148,0,1,0,3,2,2000,0.150273326,998,0.484252578,2000,0,997,0.333800871,982,0.216061333,0.016615846,1.466500941,1.382741735,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,14.9006507,191.6349967,3.118516203,5,3,4,2,1,1007,0.164325245,977,0.400258913,964,0.463895178,974,0.415802228,909,2.266063598,0.049824935,1.817107621,3.04E-04,2.116444489
,,,,,,,,,,,,,,,,,,,,,,,14.98243997,70.70951283,0.052204347,0,0,0,0,1,2000,0.164325245,2000,0.400258913,2000,0.463895178,2000,0.415802228,1014,0.032239098,0.049824935,1.817107621,3.04E-04,2.116444489
,,,,,,,,,,,,,,,,,,,,,,,15.06551052,77.81643942,0.049991738,0,0,0,0,1,2000,0.164325245,2000,0.400258913,2000,0.463895178,2000,0.415802228,1013,0.032953168,0.049824935,1.817107621,3.04E-04,2.116444489
15.51756991,95.79893667,1.435849057,4,2,5,3,1,968,0.167385637,981,1.167740072,989,0.100725558,997,0.730870636,922,0.098376091,0.098000604,0.051880163,2.598671971,5.18E-04,,,,,,,,,,,,,,,,,,,,,,,
17.93283486,111.1003919,1.368322209,0,2,0,0,1,2000,0.167385637,1008,1.91E-07,2000,0.100725558,2000,0.730870636,919,1.35053996,1.350184742,0.051880163,2.598671971,5.18E-04,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,17.99766035,229.1112898,2.766352222,4,3,2,5,1,986,0.200171818,976,0.333993004,955,0.299981933,973,0.313966043,917,0.950708228,0.050240966,3.532574308,3.533298521,6.77E-04
19.46585544,80.51511475,1.485211943,3,2,4,1,5,991,0.380875065,943,0.601619207,974,0.331076063,983,0.734675249,1008,0.016783278,0.515117914,0.750496722,6.63E-04,0.03267864,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,20.21698101,84.87243083,1.2701556,5,3,4,2,1,980,0.331720649,939,0.533157187,952,0.382863256,962,0.301332029,913,0.51908491,0.43362218,4.165405989,0.101465615,4.28311271
20.83293322,58.36263767,0.86763926,5,3,4,2,1,981,0.215872628,921,0.43371202,987,0.149062849,982,0.41698894,906,0.298405601,0.21525817,1.75265832,0.284649813,1.881319681,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,21.56533213,61.03991525,0.899685862,5,3,4,2,1,993,0.133099389,933,0.45036933,951,0.316590179,942,0.515555042,906,0.247085618,0.181777752,1.584684644,0.116935002,1.766919708
22.26569762,56.93073608,0.867573115,4,3,0,2,1,984,0.167147181,913,0.467429353,2000,0.149062849,961,0.482746703,903,0.299113459,0.166420833,1.484242954,1.766398283,1.881319681,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,22.89927534,54.20370642,0.817981175,5,3,4,2,1,998,0.034009625,923,0.49913571,965,0.217116188,943,0.447722996,907,0.267616121,0.184417899,1.434789944,0.199275394,1.597356699
23.51661391,54.19092492,0.784876206,4,3,5,2,1,979,0.23257236,925,0.433478539,990,0.133312185,976,0.385035094,904,0.231215515,0.182134468,1.384002173,1.550698647,0.033220891,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,24.19832842,55.371573,0.816298414,5,3,4,2,1,1007,0.017065959,924,0.382747671,956,0.148454149,930,0.530181683,906,0.200186413,0.134599813,1.433052466,0.19959201,1.599849373
24.86619171,56.95821067,0.819704041,4,3,5,2,1,993,0.200974393,915,0.36757685,996,0.050050095,971,0.401290563,900,0.085637778,0.183670735,1.434139367,1.616087669,0.084174727,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25.48291999,49.96617517,0.752933059,5,4,3,2,1,981,0.083973906,940,0.349770398,934,0.383400252,960,0.383529374,904,0.218957272,0.151445826,1.399151782,1.300229176,1.366433163
26.16651162,51.56521058,0.836931023,4,3,5,2,1,974,0.131082222,914,0.452570118,997,0.064130983,966,0.402340198,911,0.11919512,0.168446439,1.316240399,1.551258823,5.40E-04,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26.74837094,52.79225117,0.800007344,5,4,2,3,1,986,0.167667778,928,0.399440312,937,0.332388484,955,0.415111012,908,0.233369667,0.218203147,5.67E-04,1.283205173,1.449227472
27.36668168,48.62726808,0.78481156,4,2,5,3,1,967,0.266641892,930,0.381833211,982,0.100176747,980,0.316594779,913,0.100324413,0.216983453,2.92E-04,1.435961513,0.082858044,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,27.98071211,51.37508317,0.81531399,5,3,4,2,1,995,0.099343667,929,0.400545912,964,0.317019149,944,0.435418217,904,0.231787855,0.181832146,1.248287417,0.050774386,1.498761314
28.54805456,50.06151692,0.766156219,4,2,5,3,1,963,0.181546497,952,0.452452186,966,0.116788544,989,0.367385411,906,0.183825212,0.164617643,3.49E-04,1.48249403,5.40E-04,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,29.16503057,48.64623883,0.782393533,5,3,4,2,1,985,0.098844744,945,0.284890969,941,0.251493281,959,0.384543707,902,0.216998794,0.181144232,1.349307277,2.94E-04,1.416954275
29.70012469,45.78633025,0.733733258,4,3,5,2,1,970,0.215852084,937,0.366925982,970,0.115989967,982,0.316318123,915,0.063548028,0.182775069,1.216784337,1.452453101,5.17E-04,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,30.26676179,49.9845875,0.750933384,5,3,4,2,1,983,0.117174511,941,0.366378988,944,0.333544016,958,0.381108911,912,0.282980967,0.184354337,1.201716058,3.05E-04,1.352226425
30.86660669,47.28589583,0.750964214,5,3,4,2,1,990,0.117831874,913,0.484763476,996,0.034022286,961,0.398340739,919,0.050553221,0.150251436,1.131532296,0.368350302,1.264745636,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,31.43244939,49.90711225,0.749375988,5,3,4,2,1,985,0.083543194,951,0.333757907,933,0.299698647,963,0.415778542,909,0.282871592,0.183555739,1.298882582,3.62E-04,1.483477059
32.04952302,48.66076442,0.767564532,4,3,5,2,1,975,0.183031235,930,0.39833939,982,0.082225563,976,0.400801917,921,0.065634051,0.149988542,1.217019098,1.502420147,5.42E-04,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,32.60031658,49.97466208,0.734428231,5,3,4,2,1,981,0.167078282,941,0.400120915,940,0.382467279,961,0.416450759,911,0.233117431,0.149818919,1.199396547,3.48E-04,1.33333182
33.13367989,42.9748545,0.668096301,4,3,5,2,1,972,0.165077419,964,0.349000846,976,0.116649929,985,0.317323446,905,0.133661786,0.183205978,1.267092472,1.416199984,0.016084897,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,33.69987727,47.389951,0.718594931,5,3,4,2,1,1003,1.85E-07,945,0.367478967,948,0.133959305,955,0.41500154,906,0.23527772,0.135341574,1.249629572,0.183526106,1.464830732
34.28391019,45.76136675,0.733948924,4,2,5,3,1,967,0.217159197,934,0.434963154,975,0.133533123,983,0.351188646,920,0.097380534,0.164188225,3.20E-04,1.266426277,0.01478198,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,34.86649803,50.04283483,0.76739982,5,3,4,2,1,992,0.114351114,937,0.430941504,952,0.31665824,949,0.416811,913,0.200030227,0.149490596,1.199263297,0.032853865,1.183614371
35.50017155,47.19844667,0.800559844,4,3,5,2,1,974,0.298147214,926,0.450388925,982,0.132806333,976,0.367130939,909,0.166023926,0.149558331,1.151203059,1.435239962,0.03322593,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,36.04965868,51.34689083,0.783665207,5,3,4,2,1,989,0.066409309,935,0.400653588,958,0.316342146,946,0.381721127,908,0.23419819,0.216181558,1.267254686,0.05065764,1.533956196
36.65101501,47.24781417,0.768859188,4,2,5,3,1,968,0.165863303,946,0.433784974,969,0.116918397,986,0.299670301,911,0.234647,0.183335672,0.050770663,1.5000343,7.42E-04,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,37.25014005,52.63270775,0.801010171,5,3,4,2,1,995,0.06632353,940,0.38391416,960,0.34844306,948,0.414967374,909,0.284131537,0.20197719,1.250397786,2.60E-04,1.448450872
37.84913018,46.01248042,0.768408198,4,3,5,2,1,973,0.135297079,928,0.433360866,988,0.051454522,970,0.433616856,913,0.051317153,0.135504894,1.200795279,1.481537514,5.89E-04,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,38.36638819,48.57485592,0.733515752,5,3,4,2,1,982,0.118656224,941,0.38322019,940,0.366565492,956,0.41642597,920,0.217290765,0.133505702,1.198128752,4.05E-04,1.414554172
38.96713545,48.46222467,0.751365351,4,3,5,2,1,972,0.166462923,922,0.434739916,990,0.096968503,967,0.434062519,911,0.050235947,0.117286162,1.164936727,1.433518494,5.41E-04,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,39.53163278,47.38254667,0.734315927,5,3,4,2,1,994,0.082771871,938,0.431399801,948,0.399243065,952,0.485092595,914,0.187057589,0.100715668,1.217209837,2.94E-04,1.450711298
40.13476961,52.7193075,0.768862254,4,2,5,3,1,970,0.183108494,934,0.447705217,984,0.016696048,981,0.401263784,919,0.098909621,0.184923964,0.014678496,1.502070368,0.08313338,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,40.73330088,49.98400908,0.734761129,5,4,3,2,1,989,0.031980843,944,0.433702344,944,0.433839757,961,0.49887368,911,0.166486495,0.101300621,1.266840638,1.200208885,1.582849763
40.74856492,49.98400908,0.150218048,0,0,0,0,1,2000,0.183108494,2000,0.447705217,2000,0.016696048,2000,0.401263784,914,0.033180369,0.184923964,0.014678496,1.502070368,0.08313338,,,,,,,,,,,,,,,,,,,,,,,
41.31705292,31.88735875,0.533237348,3,2,4,1,5,970,0.19739919,948,0.316862372,976,0.066966355,985,0.348174914,1005,0.033005641,0.082537705,1.499066708,0.032762308,0.016324991,,,,,,,,,,,,,,,,,,,,,,,
41.91747484,48.45135892,0.169594724,0,0,0,0,1,2000,0.19739919,2000,0.316862372,2000,0.066966355,2000,0.348174914,914,0.0507297,0.082537705,1.499066708,0.032762308,0.016324991,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,41.93402056,48.45135892,0.767556304,5,3,4,2,1,987,0.083432696,945,0.417206173,947,0.365534776,954,0.465791681,907,0.180844898,0.100744616,1.266365603,0.016585158,1.516181947
41.96723951,65.29700108,0.017211782,0,0,0,1,0,2000,0.19739919,2000,0.316862372,2000,0.066966355,1010,2.04E-07,2000,0.0507297,0.082537705,1.499066708,0.032762308,0.016324991,,,,,,,,,,,,,,,,,,,,,,,
42.00059541,67.89078433,0.019442172,0,0,0,1,0,2000,0.19739919,2000,0.316862372,2000,0.066966355,1010,1.85E-07,2000,0.0507297,0.082537705,1.499066708,0.032762308,0.016324991,,,,,,,,,,,,,,,,,,,,,,,
42.49787227,23.58313225,0.431135275,4,3,5,1,2,967,0.150485307,942,0.267002427,980,0.081404031,981,0.264219872,945,0.03192174,8.04E-04,1.216376387,1.183490614,0.016163803,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,43.03381462,44.3440805,0.684079317,5,3,4,2,1,984,0.115603765,935,0.368810543,955,0.199470461,947,0.433888774,908,0.148189649,0.083276004,1.297470361,0.118238578,1.450603762
43.61734424,48.58774883,0.735480555,4,2,5,3,1,971,0.167350374,927,0.431992163,990,0.066441064,973,0.333988537,935,0.133392323,0.151058397,0.033795056,1.283448541,5.36E-04,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,44.18354133,45.95104467,0.718624126,5,3,4,2,1,986,0.014985469,938,0.433475845,957,0.319120309,949,0.450077424,910,0.183541952,0.101782041,1.200387457,0.064257114,1.383732401
44.78321504,50.05285917,0.7668857,4,3,5,2,1,978,0.117052327,925,0.448338805,993,0.033448168,970,0.415397543,902,0.233215692,0.166505574,1.184426032,1.499596777,0.017199341,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,45.36746948,48.52702133,0.750505888,5,3,4,2,1,985,0.067354683,938,0.349187197,948,0.252376783,946,0.417720369,906,0.231335402,0.147420726,1.333733734,0.06436234,1.519387579
45.96569377,48.47136283,0.766406143,3,5,4,2,1,964,0.167188587,962,0.017497233,974,0.11641236,989,0.316169973,898,0.249152098,0.234442652,1.51699956,6.61E-04,1.265520375,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,46.56526231,52.99271208,0.784317311,5,3,4,2,1,996,0.015003299,939,0.266886572,956,0.149694226,946,0.43323152,901,0.185381945,0.185297768,1.401878026,0.083516259,1.501787631
47.16507188,45.85725367,0.748215217,5,3,4,2,1,963,0.132400711,937,0.184201492,983,0.114198865,980,0.366798537,911,0.049665022,0.183486734,1.399637024,0.050570249,1.2168702,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,47.70048958,47.23450267,0.733344851,5,3,4,2,1,991,0.166556503,943,0.365621222,944,0.334303813,956,0.369063688,907,0.248685716,0.19823237,1.284472976,0.01562756,1.217322828
48.35121541,51.30186208,0.817257569,3,5,4,2,1,966,0.183618508,926,0.034432117,989,0.069031337,973,0.333093217,900,0.099609893,0.233135038,1.464022236,6.45E-04,1.265355438,,,,,,,,,,,,,,,,,,,,,,,
48.90053794,47.17523392,0.184855157,0,0,0,0,1,2000,0.183618508,2000,0.034432117,2000,0.069031337,2000,0.333093217,901,0.084187823,0.233135038,1.464022236,6.45E-04,1.265355438,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,48.90109916,47.17523392,0.751518799,5,3,4,2,1,986,0.132909889,939,0.366565934,948,0.351140491,950,0.331274573,909,0.216982592,0.201688917,1.216270331,4.18E-04,1.333951743
49.46756864,31.95087283,0.550239897,2,4,3,1,0,970,0.116644177,938,0.032465053,981,0.081977125,981,0.349423071,2000,0.084187823,0.333116165,6.12E-04,1.236203117,1.265355438,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,50.0339409,47.20646908,0.733201405,5,3,4,2,1,985,0.13293915,941,0.333241269,944,0.233854918,953,0.399914676,907,0.249938878,0.149888671,1.232759589,0.032658362,1.402265772
50.58469054,48.59449658,0.717473743,5,3,4,2,1,978,0.132013156,935,0.383738622,981,0.100464057,980,0.381420383,904,0.216296621,0.150545373,0.832714568,0.266725359,1.066802507,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,51.16710604,51.36519083,0.716754958,5,3,4,2,1,989,0.169619213,944,0.366007523,951,0.301698668,952,0.418429078,904,0.200303237,0.164252931,1.250496322,0.047563799,1.314553318
51.75071306,48.50050558,0.683980032,4,3,5,2,1,969,0.168934413,935,0.432177376,971,0.100026384,977,0.400848484,918,0.099412715,0.099285592,1.198797038,1.41540804,6.78E-04,,,,,,,,,,,,,,,,,,,,,,,
