StrideLeft,ContactTimeLeft,LeftOrder1,LeftOrder2,LeftOrder3,LeftOrder4,LeftOrder5,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,StrideRight,ContactTimeRight,RightOrder1,RightOrder2,RightOrder3,RightOrder4,RightOrder5,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,,,,,,39.21480058,0.574561174,4,3,5,1,2,970,1.39E+10,772,1.81E+14,993,1.81E+14,693,1.81E+14,608,1.81E+14,-181373.7482,14.03264847,13.99926187,-0.065904893
50.08332575,-181387.9078,3,4,5,2,1,951,2375,981,320,982,267,978,1.81E+14,946,635,-181373.3588,14.59838534,-0.034868579,-0.014575171,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,43.01470067,0.652621604,4,2,5,3,1,965,5.17E+08,788,1.81E+14,991,1.81E+14,695,1.81E+14,600,1.81E+14,-181373.3267,181373.8932,1.131731356,-0.097408768
47.18659817,-181389.0249,4,5,2,3,1,943,809,974,905,973,335,975,1.81E+14,952,1349,-181373.2938,-0.183227989,1.150157331,-0.017406261,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,51.52986625,0.736949729,4,2,5,3,1,958,5.16E+08,783,1.81E+14,988,1.81E+14,697,1.81E+14,579,1.81E+14,-181373.2433,181373.8761,-181372.7442,-0.099095267
51.52986625,-181390.2095,0,0,0,0,1,2000,809,2000,905,2000,335,2000,1.81E+14,949,1070,-181373.2938,-0.183227989,1.150157331,-0.017406261,,,,,,,,,,,,,,,,,,,,,,
13.8503325,-181390.6081,3,1,4,2,0,951,940,974,260,974,131,979,1.81E+14,2000,1070,-181373.9433,1.200957453,2.20E-06,-0.017406261,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,52.80908817,0.736958273,4,2,5,3,1,971,5.18E+08,753,1.81E+14,998,1.81E+14,681,1.81E+14,590,1.81E+14,-181373.2907,181373.9407,-181372.7594,-0.132505258
45.83837658,-181391.408,5,2,3,4,1,964,1007,974,1122,974,273,977,1.81E+14,954,702,-181373.2944,6.00E-07,3.67E-07,1.181537045,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,51.41797433,0.771567345,4,3,0,2,1,978,4.85E+08,734,1.81E+14,2000,1.81E+14,684,1.81E+14,563,1.81E+14,0.733707808,1.264221455,-181372.7756,-0.132505258
48.65097117,-181392.5751,5,2,4,3,1,968,2950,967,867,977,342,965,1.81E+14,935,876,-181373.3089,2.61E-06,1.152614716,1.135494929,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,52.85065333,0.751761328,5,2,4,3,1,975,5.86E+08,748,1.81E+14,993,1.81E+14,697,1.81E+14,558,1.81E+14,-181373.2274,181373.9598,0.917606224,1.282865148
51.30782525,-181393.7931,5,3,4,2,1,958,1214,976,1929,977,553,966,1.81E+14,927,2562,-181373.2595,1.267414308,6.29E-07,1.267411071,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,51.35744567,0.752591495,5,3,4,2,1,972,5.34E+08,747,1.81E+14,994,1.81E+14,700,1.81E+14,529,1.81E+14,0.700084744,1.251105652,-0.201334557,1.466864471
50.01896992,-181395.0251,5,4,2,3,1,950,1455,986,1953,944,440,986,1.81E+14,929,1333,-181373.2921,-0.151576768,1.199312797,1.147723163,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,56.96662058,0.768519519,5,2,4,3,1,965,5.69E+08,763,1.81E+14,995,1.81E+14,702,1.81E+14,542,1.81E+14,-181373.2272,181373.9132,0.983275283,1.370210618
44.46013967,-181396.3089,5,4,3,2,1,980,1732,966,2033,948,346,989,1.81E+14,939,3155,-181373.51,1.216253374,1.367828367,0.950208141,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,51.38174908,0.752119901,5,3,4,2,1,953,8.32E+08,824,1.81E+14,976,1.81E+14,745,1.81E+14,573,1.81E+14,0.532712009,1.216803952,-0.065539503,1.399105056
51.38174908,-181397.4591,0,0,0,0,1,2000,1732,2000,2033,2000,346,2000,1.81E+14,935,3502,-181373.51,1.216253374,1.367828367,0.950208141,,,,,,,,,,,,,,,,,,,,,,
12.42477542,-181397.9093,3,1,2,4,0,961,1821,973,1920,973,314,982,1.81E+14,2000,3502,-181373.7105,1.399760852,2.46E-06,0.950208141,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,55.61840133,0.804561265,5,2,4,3,1,951,6.50E+08,836,1.81E+14,973,1.81E+14,725,1.81E+14,579,1.81E+14,-181373.1767,181373.8464,1.233925678,1.332179859
51.38852392,-181398.7258,4,2,3,5,1,989,2256,974,2845,975,614,979,1.81E+14,945,1534,-181373.2094,1.33E-06,1.133960462,0.166764015,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,59.47678833,0.882249447,4,3,0,2,1,980,7.93E+08,738,1.81E+14,2000,1.81E+14,657,1.81E+14,576,1.81E+14,0.776853657,1.360786275,-181372.5685,1.332179859
59.47678833,-181400.0562,0,0,0,0,1,2000,2256,2000,2845,2000,614,2000,1.81E+14,942,4650,-181373.2094,1.33E-06,1.133960462,0.166764015,,,,,,,,,,,,,,,,,,,,,,
23.39263375,-181400.4212,3,1,2,4,0,966,2043,975,2102,977,956,962,1.81E+14,2000,4650,-181373.5621,1.342652411,4.70E-06,0.166764015,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,58.34237767,0.836462155,5,2,4,3,1,963,5.85E+08,773,1.81E+14,989,1.81E+14,701,1.81E+14,592,1.81E+14,-181373.142,181373.8438,1.201522825,1.36667998
58.34237767,-181401.402,0,0,0,0,1,2000,2043,2000,2102,2000,956,2000,1.81E+14,937,1665,-181373.5621,1.342652411,4.70E-06,0.166764015,,,,,,,,,,,,,,,,,,,,,,
15.20874542,-181401.8874,3,1,2,4,0,961,1440,972,1909,971,382,996,1.81E+14,2000,1665,-181373.6925,1.318063527,-0.015642631,0.166764015,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,57.16885783,0.885253959,5,2,4,3,1,958,6.49E+08,779,1.81E+14,987,1.81E+14,696,1.81E+14,576,1.81E+14,-181373.0944,181373.8101,-181372.6281,1.515996698
57.16885783,-181402.756,0,0,0,0,1,2000,1440,2000,1909,2000,382,2000,1.81E+14,942,1342,-181373.6925,1.318063527,-0.015642631,0.166764015,,,,,,,,,,,,,,,,,,,,,,
9.79284075,-181403.3017,3,1,2,4,0,965,3488,973,3037,971,371,983,1.81E+14,2000,1342,-181373.7589,1.330997534,7.04E-06,0.166764015,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,59.69592683,0.871332597,4,2,5,3,1,952,7.17E+08,802,1.81E+14,979,1.81E+14,718,1.81E+14,565,1.81E+14,-181373.1102,181373.844,-181372.5228,-0.036534596
54.14380983,-181404.1356,4,2,3,5,1,977,16388,971,348,971,324,998,1.81E+14,942,1393,-181373.2068,1.49E-06,1.334162286,0.034789564,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,62.54348617,0.919814802,4,2,0,3,1,967,7.68E+08,737,1.81E+14,2000,1.81E+14,653,1.81E+14,568,1.81E+14,-181373.0563,181373.8906,-181372.4933,-0.036534596
54.38323475,-181405.5358,4,3,2,5,1,978,2400,977,274,977,220,981,1.81E+14,939,3545,-181373.2248,1.382191387,1.382186451,0.031407138,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,56.71976592,0.853302877,5,2,4,3,1,969,6.32E+08,757,1.81E+14,992,1.81E+14,676,1.81E+14,582,1.81E+14,-181373.1288,181373.8931,-181372.7437,1.333086179
56.71976592,-181406.8691,0,0,0,0,1,2000,2400,2000,274,2000,220,2000,1.81E+14,942,1729,-181373.2248,1.382191387,1.382186451,0.031407138,,,,,,,,,,,,,,,,,,,,,,
21.09613725,-181407.3028,3,1,2,4,0,981,3056,980,1334,980,244,962,1.81E+14,2000,1729,-181373.5764,1.415319223,1.45E-05,0.031407138,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,56.86282808,0.850115195,5,2,4,3,1,964,6.17E+08,770,1.81E+14,991,1.81E+14,689,1.81E+14,595,1.81E+14,-181373.1292,181373.7953,-181372.5906,1.500258062
56.86282808,-181408.2383,0,0,0,0,1,2000,3056,2000,1334,2000,244,2000,1.81E+14,938,2232,-181373.5764,1.415319223,1.45E-05,0.031407138,,,,,,,,,,,,,,,,,,,,,,
19.4679215,-181408.6883,3,1,2,4,0,994,1962,975,2493,972,335,946,1.81E+14,2000,2232,-181373.642,1.116906862,0.203144007,0.031407138,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,59.63180933,0.885868938,4,2,5,3,1,977,8.17E+08,741,1.81E+14,1000,1.81E+14,669,1.81E+14,571,1.81E+14,-181373.0958,181373.8608,-181372.4949,-0.282933617
55.69214983,-181409.6375,4,3,2,5,1,979,2009,973,2722,973,256,947,1.81E+14,936,1951,-181373.1919,1.399223584,1.566757651,0.035611331,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,56.96405125,0.869479855,5,2,4,3,1,970,6.34E+08,743,1.81E+14,998,1.81E+14,662,1.81E+14,572,1.81E+14,-181373.1437,181373.9097,-181372.7261,1.384938193
56.96405125,-181410.9894,0,0,2,0,1,2000,2009,2000,2722,991,2649,2000,1.81E+14,940,1779,-181373.66,1.399223584,1.566757651,0.035611331,,,,,,,,,,,,,,,,,,,,,,
22.48363342,-181411.4195,0,1,2,0,0,2000,2009,964,1267,964,304,2000,1.81E+14,2000,1779,-181373.5923,1.399223584,1.566757651,0.035611331,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,55.543142,0.851180061,5,2,4,3,1,957,2.00E+09,800,1.81E+14,979,1.81E+14,721,1.81E+14,595,1.81E+14,-181373.2129,181373.779,-181372.5955,1.515604935
56.8398195,-181412.3558,4,3,2,5,1,995,2178,969,3502,969,412,976,1.81E+14,936,1819,-181373.2123,1.316314022,2.382388065,0.282659737,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,55.41483342,0.80379694,4,2,0,3,1,971,9.33E+08,738,1.81E+14,2000,1.81E+14,643,1.81E+14,571,1.81E+14,-181373.1746,181373.9231,-181372.4288,1.515604935
55.41483342,-181413.7029,0,0,0,0,1,2000,2178,2000,3502,2000,412,2000,1.81E+14,941,3110,-181373.2123,1.316314022,2.382388065,0.282659737,,,,,,,,,,,,,,,,,,,,,,
29.01414233,-181414.0213,3,1,2,4,0,983,1829,975,2466,975,407,951,1.81E+14,2000,3110,-181373.5115,1.35178368,0.014612307,0.282659737,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,55.61462025,0.837787568,4,2,0,3,1,963,6.34E+08,745,1.81E+14,2000,1.81E+14,661,1.81E+14,578,1.81E+14,-181373.1401,181373.8904,-181372.6263,1.515604935
56.91662308,-181415.0369,5,3,4,2,1,985,4232,967,1560,966,582,960,1.81E+14,939,2467,-181373.1935,1.386685499,-0.053187608,1.316512639,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,58.33924883,0.837700158,4,2,5,3,1,953,6.36E+08,801,1.81E+14,980,1.81E+14,733,1.81E+14,619,1.81E+14,-181373.1406,181373.7077,-181372.5933,-0.033453778
52.79816,-181416.42,5,4,3,2,1,961,1324,968,262,968,344,957,1.81E+14,950,1800,-181373.2891,1.266832551,1.21364513,1.26683078,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,51.34386875,0.737992603,5,2,4,3,1,968,6.19E+08,747,1.81E+14,996,1.81E+14,682,1.81E+14,599,1.81E+14,-181373.2403,181373.8904,-181372.5433,1.252044939
53.07668975,-181417.6697,5,3,4,2,1,989,3580,962,347,962,257,963,1.81E+14,940,1823,-181373.2593,1.279520282,7.06E-07,1.300167905,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,53.89472425,0.802564917,5,2,4,3,1,953,5.85E+08,789,1.81E+14,982,1.81E+14,696,1.81E+14,608,1.81E+14,-181373.1786,181373.7756,-181372.6269,1.332876948
52.78700375,-181418.9533,5,2,3,4,1,979,1451,966,2604,966,512,951,1.81E+14,940,1468,-181373.2263,7.27E-07,5.58E-07,1.316704484,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,55.84440317,0.839166941,5,3,4,2,1,968,6.17E+08,743,1.81E+14,995,1.81E+14,680,1.81E+14,590,1.81E+14,0.769418982,1.317356782,-0.216478885,1.31971069
56.75723808,-181420.2569,4,2,3,5,1,980,1348,966,2037,966,409,968,1.81E+14,954,1631,-181373.2132,2.97E-06,1.268203267,0.048426911,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,54.16419567,0.870265666,5,2,4,3,1,973,6.49E+08,734,1.81E+14,995,1.81E+14,653,1.81E+14,587,1.81E+14,-181373.1095,181373.7913,1.264902625,1.481379479
54.16419567,-181421.588,0,0,0,0,1,2000,1348,2000,2037,2000,409,2000,1.81E+14,954,2200,-181373.2132,2.97E-06,1.268203267,0.048426911,,,,,,,,,,,,,,,,,,,,,,
33.28508558,-181421.8377,0,1,2,3,0,2000,1348,965,1525,966,529,966,1.81E+14,2000,2200,-181373.492,5.94E-07,1.268203267,0.048426911,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,55.58718092,0.818848183,5,2,4,3,1,954,1.90E+09,789,1.81E+14,981,1.81E+14,698,1.81E+14,646,1.81E+14,-181373.1591,181373.7759,-181372.592,1.333478013
55.58718092,-181422.9042,0,0,0,0,1,2000,1348,2000,1525,2000,529,2000,1.81E+14,946,56497,-181373.492,5.94E-07,1.268203267,0.048426911,,,,,,,,,,,,,,,,,,,,,,
30.56555208,-181423.19,3,1,2,4,0,965,3407,968,3465,968,395,974,1.81E+14,2000,56497,-181373.5097,1.314758005,0.019737641,0.048426911,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,55.50532008,0.815626572,4,2,5,3,1,936,6.19E+08,813,1.81E+14,982,1.81E+14,691,1.81E+14,656,1.81E+14,-181373.1617,181373.6594,-181372.4751,-0.034736801
55.4538875,-181424.2228,5,3,4,2,1,963,2572,966,360,969,383,972,1.81E+14,937,1311,-181373.2788,1.313829672,9.53E-07,1.313825478,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,54.20211792,0.820049757,5,2,4,3,1,946,5.86E+08,812,1.81E+14,975,1.81E+14,742,1.81E+14,616,1.81E+14,-181373.157,181373.8899,-181372.393,1.298128477
54.20211792,-181425.5387,0,0,0,0,1,2000,2572,2000,360,2000,383,2000,1.81E+14,951,1835,-181373.2788,1.313829672,9.53E-07,1.313825478,,,,,,,,,,,,,,,,,,,,,,
31.77846158,-181425.8564,4,1,2,3,0,995,1598,961,258,962,292,947,1.81E+14,2000,1835,-181373.5126,4.97E-07,1.316487486,1.313825478,,,,,,,,,,,,,,,,,,,,,,
