TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,,,,,,,10.927331365,3.9169323333333335,0.067707991,0,1,2,3,0,2000,0.0,996,1.0872669996E10,994,1.0872670682E10,993,1.0872671243E10,2000,0.0,1.3061124E7,441.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,11.910140449,159.24240866666665,0.584549505,0,0,1,0,2,2000,0.0,2000,1.0872669996E10,986,2000.0,2000,1.0872671243E10,989,1.14674951E8,5.00516773E8,441.0,0.0,0.0
12.042854419,370.411772,1.194991945,4,3,5,2,1,992,792.0,945,161.0,992,148.0,955,152.0,901,218.0,1.094442051E9,1.2024577348E10,1.1908927189E10,-1.7051537E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,12.928386472,244.065669,0.969289021,0,3,1,2,0,2000,0.0,984,7.5192578E8,964,8.50738039E8,961,7.49480912E8,2000,1.14674951E8,8.17410365E8,1.04975055E9,0.0,0.0
13.893217719,245.076022,1.201924077,4,3,0,2,1,987,955.0,946,278.0,2000,148.0,959,224.0,896,739.0,1.151772748E9,1.933950442E9,1.78516868E9,-1.7051537E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,14.894853047,378.22051566666664,1.468328829,0,4,1,3,2,2000,0.0,970,7.99966096E8,939,2.751045978E9,947,7.51160093E8,977,6.7500594E7,3.15662087E8,1.967844127E9,1.883953283E9,0.0
,,,,,,,,,,,,,,,,,,,,,,,14.975008848,133.14982266666667,0.014376542,0,0,1,0,0,2000,0.0,2000,7.99966096E8,995,3.068753777E9,2000,7.51160093E8,2000,6.7500594E7,3.15662087E8,1.967844127E9,1.883953283E9,0.0
,,,,,,,,,,,,,,,,,,,,,,,15.361847219,166.485404,0.301208236,0,0,1,0,0,2000,0.0,2000,7.99966096E8,987,3.449617997E9,2000,7.51160093E8,2000,6.7500594E7,3.15662087E8,1.967844127E9,1.883953283E9,0.0
15.594334244,327.46122866666667,1.03315105,4,3,5,2,1,989,924.0,915,330.0,989,229.0,936,280.0,898,275.0,1.013749397E9,1.731839772E9,1.649480395E9,-1.654329E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,16.25896118,189.05459166666668,0.715394232,4,3,1,2,0,989,5.8567411E8,964,5.84893439E8,943,5.83965069E8,952,4.66453649E8,2000,6.7500594E7,6.16233497E8,2.450351951E9,1.433035126E9,0.0
16.810080338,138.20499733333332,0.699349838,5,3,4,2,1,979,648.0,926,252.0,935,221.0,958,160.0,896,315.0,5.99936511E8,1.217876976E9,-3.4503085E7,1.23257022E9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,17.179302817,138.20499733333332,0.653954701,5,4,1,3,2,979,3.18851804E8,968,2.49554446E8,929,2.84058229E8,937,2.64479982E8,964,2.49913734E8,2.32963191E8,9.17356748E8,9.0057644E8,9.64406073E8
17.578221744,32.60088733333333,0.333755838,4,2,5,3,1,955,1536.0,935,286.0,943,216.0,928,176.0,881,1705.0,3.1689246E8,-5.2940156E7,7.68547272E8,-1.7625488E7,,,,,,,,,,,,,,,,,,,,,,,
18.381426319,251.24008800000001,0.285436311,4,3,5,2,1,964,2598.0,939,273.0,941,368.0,924,300.0,884,629.0,2.151254E8,7.98681403E8,8.51620257E8,1613.0,,,,,,,,,,,,,,,,,,,,,,,
19.181856773,517.2677680000002,0.287782553,5,2,4,3,1,963,3165.0,921,556.0,960,256.0,916,336.0,902,2401.0,2.69120589E8,-5.0286687E7,7.87491203E8,8.03152493E8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,19.682105206,517.2677680000002,2.339833147,5,4,1,3,2,977,3.50512997E8,952,3.33313204E8,914,3.48975745E8,916,3.49774581E8,948,2.64270592E8,1.954770493E9,2.752518501E9,2.469133883E9,2.453178205E9
,,,,,,,,,,,,,,,,,,,,,,,19.845936744,16.73300533333333,0.100109902,0,0,1,0,0,2000,3.50512997E8,2000,3.33313204E8,991,6.48182623E8,2000,3.49774581E8,2000,2.64270592E8,1.954770493E9,2.752518501E9,2.469133883E9,2.453178205E9
,,,,,,,,,,,,,,,,,,,,,,,19.965765003,71.86858800000002,0.054539816,0,0,1,0,0,2000,3.50512997E8,2000,3.33313204E8,991,1.6284514E7,2000,3.49774581E8,2000,2.64270592E8,1.954770493E9,2.752518501E9,2.469133883E9,2.453178205E9
20.029829539,71.86858800000002,0.334208254,3,4,5,2,1,928,1711.0,936,378.0,952,196.0,925,336.0,881,993.0,2.15603456E8,8.33907456E8,-5.254037E7,-1.6282278E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,20.382012863,138.455569,0.27102479,4,3,1,2,0,983,2.6360478E8,969,3.16145855E8,907,3.32429026E8,927,3.33839639E8,2000,2.64270592E8,1.49721247E8,9.97438162E8,8.52439111E8,2.453178205E9
20.731113614,88.66614400000002,0.300085997,3,4,5,2,1,931,1800.0,933,241.0,959,440.0,927,251.0,900,2000.0,2.13496095E8,8.01289333E8,-1.5488973E7,-1.6550201E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,20.797073998,88.66614400000002,0.100047613,0,0,1,0,0,2000,2.6360478E8,2000,3.16145855E8,991,9.9848774E7,2000,3.33839639E8,2000,2.64270592E8,1.49721247E8,9.97438162E8,8.52439111E8,2.453178205E9
,,,,,,,,,,,,,,,,,,,,,,,21.164871448,132.40098166666664,0.336639828,5,4,1,3,2,985,3.15667712E8,967,2.81968623E8,908,2.98519394E8,919,3.20850008E8,980,2.63034353E8,1.6440401E7,7.6747402E8,7.3370243E8,6.9886286E8
21.448191082,17.854829333333335,0.253515387,3,4,5,2,1,952,1603.0,928,248.0,958,259.0,921,724.0,892,1766.0,2.02204924E8,7.8331533E8,1774.0,576.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,21.496706751,17.854829333333335,0.248466716,0,0,1,0,0,2000,3.15667712E8,2000,2.81968623E8,986,1423.0,2000,3.20850008E8,2000,2.63034353E8,1.6440401E7,7.6747402E8,7.3370243E8,6.9886286E8
,,,,,,,,,,,,,,,,,,,,,,,21.84658599,123.22950233333333,0.282221162,4,2,1,3,0,991,3.52939362E8,960,3.52938216E8,909,3.1836995E8,921,3.1500404E8,2000,2.63034353E8,2.32239715E8,-1.5823823E7,7.68422102E8,6.9886286E8
22.214938278,15.794666666666666,0.267386092,4,3,5,2,1,953,1564.0,925,254.0,949,330.0,918,280.0,896,824.0,1.8325361E8,7.84123929E8,7.67686648E8,-3.1480758E7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,22.298999256,15.794666666666666,0.304062437,0,0,1,0,0,2000,3.52939362E8,2000,3.52938216E8,986,1.1700309E8,2000,3.1500404E8,2000,2.63034353E8,2.32239715E8,-1.5823823E7,7.68422102E8,6.9886286E8
,,,,,,,,,,,,,,,,,,,,,,,22.898751717,134.42696633333333,0.587550797,4,2,1,3,0,986,3.31912292E8,956,3.46434036E8,920,3.3238879E8,911,3.31767599E8,2000,2.63034353E8,2.16240138E8,1435.0,7.66577136E8,6.9886286E8
22.965718757,134.42696633333333,0.251238701,4,5,2,3,1,937,1670.0,944,131.0,946,318.0,921,376.0,895,1754.0,1.98462679E8,854.0,7.47197348E8,-1.15386703E8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,23.080321579,111.129245,0.032454418,0,0,1,0,0,2000,3.31912292E8,2000,3.46434036E8,998,1.49728864E8,2000,3.31767599E8,2000,2.63034353E8,2.16240138E8,1435.0,7.66577136E8,6.9886286E8
,,,,,,,,,,,,,,,,,,,,,,,23.331001901,139.2379193333333,0.198807264,4,2,3,1,0,973,3.37090993E8,957,4.52478733E8,903,3.31823378E8,914,3.18643689E8,2000,2.63034353E8,1.48654395E8,3.3430524E7,7.69306374E8,6.9886286E8
,,,,,,,,,,,,,,,,,,,,,,,23.414986019,216.874048,0.049881653,0,0,1,0,0,2000,3.37090993E8,2000,4.52478733E8,994,4.52158654E8,2000,3.18643689E8,2000,2.63034353E8,1.48654395E8,3.3430524E7,7.69306374E8,6.9886286E8
,,,,,,,,,,,,,,,,,,,,,,,23.648266477,16.125224333333332,0.135079211,0,0,1,0,0,2000,3.37090993E8,2000,4.52478733E8,986,2569.0,2000,3.18643689E8,2000,2.63034353E8,1.48654395E8,3.3430524E7,7.69306374E8,6.9886286E8
23.698906596,16.125224333333332,0.234093762,3,4,5,2,1,932,1302.0,960,527.0,942,376.0,912,297.0,899,574.0,1.66183032E8,7.68874111E8,-1.35951445E8,1.16003615E8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,24.081744573,138.18250833333335,0.202384234,4,1,2,3,0,973,3.30872333E8,966,4.34742804E8,912,3.18739858E8,910,3.49613478E8,2000,2.63034353E8,1.84527785E8,-5.1197531E7,7.14592553E8,6.9886286E8
24.431723324,4.978338666666667,0.21738852,2,0,3,4,1,935,1585.0,2000,527.0,932,271.0,917,314.0,892,1616.0,2.00058007E8,-3.3462596E7,689.0,1.16003615E8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,24.432501289,4.978338666666667,0.203231931,0,0,1,0,0,2000,3.30872333E8,2000,4.34742804E8,988,2894.0,2000,3.49613478E8,2000,2.63034353E8,1.84527785E8,-5.1197531E7,7.14592553E8,6.9886286E8
,,,,,,,,,,,,,,,,,,,,,,,24.782005168,128.13241933333336,0.183272488,4,2,3,1,0,983,3.17200107E8,962,1.165980376E9,908,3.30915762E8,908,2.99941203E8,2000,2.63034353E8,1.49401443E8,1.6656871E7,7.35442695E8,6.9886286E8
,,,,,,,,,,,,,,,,,,,,,,,25.068179187,11.086080000000003,0.136790934,0,0,1,0,0,2000,3.17200107E8,2000,1.165980376E9,987,3097.0,2000,2.99941203E8,2000,2.63034353E8,1.49401443E8,1.6656871E7,7.35442695E8,6.9886286E8
25.166968045,11.086080000000003,0.268836896,3,0,4,2,1,929,1048.0,2000,527.0,940,514.0,917,248.0,893,3146.0,1.69236476E8,7.19239384E8,-3.319089E7,1.16003615E8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25.265826695,116.41501333333333,0.018451734,0,0,0,0,1,2000,3.17200107E8,2000,1.165980376E9,2000,3097.0,2000,2.99941203E8,963,1.99174972E8,1.49401443E8,1.6656871E7,7.35442695E8,6.9886286E8
,,,,,,,,,,,,,,,,,,,,,,,25.500513325,138.66204233333332,0.186395432,4,1,2,3,0,980,2.80775654E8,959,1.868544809E9,910,3.13970161E8,911,3.13722735E8,2000,1.99174972E8,1.70266767E8,-1.9426833E7,7.00164045E8,6.9886286E8
