TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
10.65578896,823.6083833333333,0.772487293,0,0,1,0,2,2000,0.0,2000,0.0,1008,0.422314348,2000,0.0,964,0.609405067,0.013397829,-9.896698429,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10.759078158,892.2114388333333,0.052540327,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.422314348,2000,0.0,1015,0.019121437,-0.809838837,-9.896698429,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10.814408505,899.4077169166668,0.021515457,0,0,0,0,1,2000,0.0,2000,0.0,2000,0.422314348,2000,0.0,1016,0.014087882,-0.896194174,-9.896698429,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
12.240759498,44.756693,1.392968009,4,0,3,2,1,972,0.384651545,2000,0.0,970,0.499985241,977,0.29745114,872,0.44002952,0.594287422,0.04900098,0.230374172,-11.721453508,,,,,,,,,,,,,,,,,,,,,,,,
12.911207659,112.85250958333333,0.172105129,0,0,0,0,1,2000,0.384651545,2000,0.0,2000,0.499985241,2000,0.29745114,892,0.155231457,-1.297023009,0.04900098,0.230374172,-11.721453508,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,12.995812711,132.83065108333332,1.61093939,1,2,3,4,5,0,0.021668396,0,0.008838926,0,0.008648926,0,0.008586529,0,0.008501809,0.012937383,3.76296E-4,2.28395E-4,2.7803E-4
13.957363046,64.96173308333333,0.978523089,3,5,1,2,4,949,0.56511,927,0.332837186,984,0.230032162,974,0.111529764,1014,0.014641934,0.016214226,0.096093765,8.72943E-4,0.148291568,,,,,,,,,,,,,,,,,,,,,,,,
15.608255051,83.97976775000001,0.84211736,4,5,3,2,1,978,0.151541392,958,0.034826579,979,0.216472978,981,0.148050971,870,0.258014933,0.375170892,0.04857031,0.115360275,0.116910164,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,16.630864805,213.90764966666669,2.87248282,0,0,0,2,1,2000,0.021668396,2000,0.008838926,2000,0.008648926,1008,0.47022163,884,0.574964524,0.087773525,-2.447968456,2.28395E-4,2.7803E-4
17.285320081,62.977367750000006,0.960047492,0,0,0,2,1,2000,0.151541392,2000,0.034826579,2000,0.216472978,998,0.350478943,883,0.17280128,0.172128512,-1.307521893,0.115360275,0.116910164,,,,,,,,,,,,,,,,,,,,,,,,
17.322823852,18.395383000000002,0.021076612,0,0,0,0,1,2000,0.151541392,2000,0.034826579,2000,0.216472978,2000,0.350478943,1016,0.014734522,-0.804344497,-1.307521893,0.115360275,0.116910164,,,,,,,,,,,,,,,,,,,,,,,,
17.577803174,39.68884583333333,0.020530397,0,0,0,0,1,2000,0.151541392,2000,0.034826579,2000,0.216472978,2000,0.350478943,1014,0.01245591,-1.059866051,-1.307521893,0.115360275,0.116910164,,,,,,,,,,,,,,,,,,,,,,,,
17.683351784,48.393459916666664,0.021629045,0,0,0,0,1,2000,0.151541392,2000,0.034826579,2000,0.216472978,2000,0.350478943,1016,0.015409363,-1.16432142,-1.307521893,0.115360275,0.116910164,,,,,,,,,,,,,,,,,,,,,,,,
17.721771224,51.67853625,0.020627888,0,0,0,0,1,2000,0.151541392,2000,0.034826579,2000,0.216472978,2000,0.350478943,1016,0.014150532,-1.203742336,-1.307521893,0.115360275,0.116910164,,,,,,,,,,,,,,,,,,,,,,,,
