Stride, GroundTime,,
,,1.27742202,1.556955495
169.1894852,2.665042225,,
,,97.97327075,1.332025256
102.3123676,0.272616516,,
46.33546511,0.762691782,,
,,46.82116299,0.50598341
39.53472757,0.644101286,,
,,40.00051929,0.354167828
36.71823641,0.559684384,,
,,37.02128525,0.355884759
32.7139489,0.479520941,,
,,32.92065919,0.322986715
30.0101903,0.460960049,,
,,30.11644605,0.37318135
38.24463777,0.511951039,,
,,38.55957234,0.30821819
27.49349719,0.41202761,,
,,27.63188609,0.286992193
28.59598356,0.394915905,,
,,28.7148074,0.291625637
27.25758137,0.409286768,,
,,27.33515533,0.33858368
23.12938491,0.380083122,,
,,23.18243758,0.323032147
28.58873871,0.444120803,,
,,28.76884216,0.287832175
29.87446275,0.443152543,,
,,30.01824041,0.323751372
25.63857301,0.404743833,,
,,25.69323694,0.351765763
17.61601192,0.312555637,,
,,17.58678472,0.353934343
28.64249139,0.41152643,,
,,28.78432712,0.288515014
32.67760358,0.444011677,,
,,32.90271545,0.273108376
36.59800153,0.574000406,,
,,36.63033098,0.552200147
