StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,,,,,,21.097969,0.275560792,1,0,2,3,4,983,10.76381279,2000,0,992,7491.366297,762,7491.266775,941,7491.214694,0.202095281,7480.602483,-7480.653392,0
51.2245575,0.683632288,4,5,2,3,1,993,7.03E-07,1009,1.01E-06,955,3.02E-07,987,7480.602483,970,8.16E-06,0.665372948,-0.084083594,11.43095619,4.30E-06,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,52.67490017,0.720720533,5,3,4,2,1,987,0.549565431,828,7481.101738,983,7481.018506,712,7481.020927,504,7481.001783,7481.186572,1.366294204,-0.067197814,1.350004244
44.6109725,0.634645548,4,5,2,3,1,989,7.82E-07,1008,3.02E-07,948,2.69E-07,992,7480.602483,971,1.63E-05,0.61914197,-0.15121451,1.250945986,-0.035250159,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,59.7430085,0.835497629,3,5,4,2,1,972,0.582777936,824,7481.121925,982,7480.96854,707,7481.038054,519,7481.054145,7481.285685,-7479.252119,-0.034702386,1.350081101
98.53114617,1.451398524,4,0,2,3,1,946,6.33E-07,2000,3.02E-07,938,2.55E-07,985,7480.602483,964,2.22E-05,1.399465423,-0.217094569,2.216637746,-0.035250159,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,162.5162076,2.137726019,2,4,0,3,1,996,0.499072304,925,7484.48753,2000,7480.96854,702,7481.636764,533,7481.286297,1.934550602,7480.66855,3.250449304,1.350081101
,,,,,,,,,,,,,,,,,,,,,,32.02844483,2.502588817,0,1,0,0,0,2000,0.499072304,892,7487.220669,2000,7480.96854,2000,7481.636764,2000,7481.286297,1.934550602,7480.66855,3.250449304,1.350081101
,,,,,,,,,,,,,,,,,,,,,,287.6632535,0.069257061,0,1,0,0,0,2000,0.499072304,923,7487.889065,2000,7480.96854,2000,7481.636764,2000,7481.286297,1.934550602,7480.66855,3.250449304,1.350081101
411.2024828,5.303277157,4,5,3,2,1,975,2.45E-06,1010,5.67E-07,967,2.67E-07,983,7480.602483,981,1.78E-05,5.084878404,7.000502568,7.23403281,-0.383830958,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,88.87105367,1.102931814,4,5,3,2,1,948,0.550314927,836,7481.519407,984,7481.019028,689,7481.102063,551,7481.702274,7481.469338,5.933336311,-7474.735215,0.066227768
41.35738608,0.60198409,4,0,2,3,1,953,4.73E-05,2000,5.67E-07,943,3.03E-07,995,7480.602483,956,2.74E-05,0.581350443,5.15E-07,1.314831244,-0.383830958,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,44.48104625,0.619027859,4,3,0,2,1,989,0.45039601,793,7482.549891,2000,7481.019028,629,7480.801844,551,7481.05116,7481.168554,-7479.305771,1.145549043,0.066227768
45.80349767,0.618790014,4,5,3,2,1,978,1.56E-06,1008,3.02E-07,957,2.33E-07,986,7480.602483,969,1.79E-05,0.602944994,1.051655175,1.051652002,-0.053303862,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,44.71533125,0.655808136,5,3,4,2,1,993,0.465379917,775,7481.00347,994,7480.81583,672,7480.766547,580,7481.084219,7481.152201,-7479.484752,-0.05067005,1.083841123
42.84492692,0.602337226,4,5,3,2,1,961,2.09E-06,1008,3.48E-07,949,2.66E-07,983,7480.602483,977,1.77E-05,0.531732214,1.064827808,1.064824918,-0.248148442,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,45.85563617,0.686298741,5,3,4,2,1,976,0.450818793,819,7481.118981,982,7480.784237,695,7480.800048,653,7481.067579,7480.938238,-7479.432542,-0.082998026,1.086942608
41.75911592,0.618556047,5,4,3,2,1,962,3.09E-06,1007,3.16E-07,951,2.73E-07,983,7480.602483,969,1.68E-05,0.566629073,1.099303047,0.98396389,1.0494877,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,44.35799408,0.616737458,5,3,4,2,1,976,0.484558192,819,7480.884371,981,7480.818847,714,7480.769096,577,7481.05196,7480.953586,-7479.289551,-0.047236575,1.015511487
45.99668983,0.600264821,5,4,3,2,1,987,1.23E-06,996,1.45E-06,961,2.22E-07,972,7480.602483,972,1.92E-05,0.565780663,1.050183859,0.999855063,1.115707005,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,42.86909167,0.616337353,5,2,4,3,1,985,0.484626427,754,7481.003661,996,7481.068809,671,7480.786359,525,7481.050219,0.600062859,7480.518493,1.003018438,1.064196823
40.25797783,0.58739957,5,4,3,2,1,962,1.92E-06,997,3.37E-07,958,3.09E-07,979,7480.602483,977,1.61E-05,0.551913889,1.068499177,1.016441118,1.101199489,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,52.84612342,0.63825634,5,3,4,2,1,957,0.46721764,810,7480.986156,984,7480.783882,704,7480.784378,581,7481.05382,7481.102542,1.013735367,-0.016780887,1.080941459
40.33593483,0.586122749,5,4,3,2,1,968,2.60E-06,999,4.07E-07,962,3.04E-07,979,7480.602483,976,2.84E-05,0.484028389,1.131706021,0.934274527,1.150158634,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,48.62203967,0.652113996,5,3,4,2,1,956,0.44957468,833,7481.0834,981,7480.804064,714,7480.834902,566,7481.083597,7480.934041,-7479.351579,-0.047727365,1.103742621
40.19126275,0.620192624,5,4,3,2,1,992,2.01E-06,987,1.54E-06,976,5.01E-07,963,7480.602483,982,1.70E-05,0.598248472,1.181715101,1.033831454,1.280824241,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,49.9396475,0.686251548,5,3,4,2,1,962,0.467683225,781,7480.920528,990,7481.070164,636,7480.752505,578,7481.102188,7481.08563,-7479.199945,-0.049591525,1.099451758
