inByte1_0,inByte1_1,inByte1_2,inByte1_3,inByte1_4,inByte2_0,inByte2_1,inByte2_2,inByte2_3,inByte2_4
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
938,1019,1022,1015,958,0,0,0,0,0
