TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
9.528642848,5.6638876666666675,0.064440938,0,0,1,0,0,2000,0.0,2000,0.0,947,2.477E-6,2000,0.0,2000,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,9.818700718,5.6638876666666675,0.320510619,5,1,4,2,3,948,9.66455984,847,9.650120526,917,0.166382674,700,9.631954357,763,9.566547328,0.233840841,-0.100067869,9.797145709,9.797144931
10.153248725,46.75786933333333,0.302156104,0,0,2,1,3,2000,0.0,2000,0.0,887,1.56E-6,954,2.59E-7,986,2.32E-7,0.249521127,-0.152048887,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,10.470110615,46.75786933333333,0.338462661,5,2,4,1,3,967,10.397239358,799,10.298008471,924,0.215902277,606,0.247263436,903,0.282620059,0.318016468,-0.151641143,0.817696007,0.652504163
10.849369531,52.5317875,0.349210097,0,4,1,2,3,2000,0.0,1015,1.436E-6,883,1.744E-6,956,4.05E-7,988,1.29E-7,0.21574713,-0.098078563,0.850107804,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,11.15182594,52.5317875,0.336474764,5,3,4,1,2,971,11.048126231,774,0.232665089,933,0.215988647,566,0.249231125,895,0.282656931,0.149787811,0.681363293,1.6E-6,0.648780928
,,,,,,,,,,,,,,,,,,,,,,,11.22062308,0.4381998333333333,0.014799031,0,0,0,0,1,2000,11.048126231,2000,0.232665089,2000,0.215988647,2000,0.249231125,995,0.587994173,0.149787811,0.681363293,1.6E-6,0.648780928
11.520967431,49.853630333333335,0.317773737,0,0,1,2,3,2000,0.0,2000,1.436E-6,890,1.218E-6,943,3.14E-7,977,2.33E-7,0.216662749,-0.13267519,0.850107804,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,11.837928417,49.853630333333335,0.33560853,5,2,4,1,3,955,11.737360847,832,0.888722447,920,0.19891195,663,0.234724845,749,0.316941488,0.301710337,-0.134290859,0.689451972,0.673006708
,,,,,,,,,,,,,,,,,,,,,,,11.888155965,2.568911,0.035251421,0,0,0,0,1,2000,11.737360847,2000,0.888722447,2000,0.19891195,2000,0.234724845,1001,9.9555E-4,0.301710337,-0.134290859,0.689451972,0.673006708
,,,,,,,,,,,,,,,,,,,,,,,12.039224847,17.148149333333333,0.068017984,0,0,0,0,1,2000,11.737360847,2000,0.888722447,2000,0.19891195,2000,0.234724845,1006,0.047705684,0.301710337,-0.134290859,0.689451972,0.673006708
12.172969262,47.50872733333333,0.304653604,0,4,1,2,3,2000,0.0,1013,1.562E-6,906,4.06E-7,938,2.91E-7,972,2.06E-7,0.23576108,-0.150646779,0.765345067,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,12.526138854,61.675169499999996,0.372769172,5,2,4,1,3,952,12.337659951,828,0.28513788,924,0.184299934,654,0.203266054,755,0.287361121,0.304400242,0.046538287,0.817563618,0.637299668
12.839917302,46.879701000000004,0.316497945,0,0,1,2,3,2000,0.0,2000,1.562E-6,896,1.684E-6,948,3.43E-7,977,1.84E-7,0.199706829,-0.082385899,0.765345067,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,13.144049158,46.879701000000004,0.339348043,5,2,4,1,3,967,13.039132481,772,0.935916745,930,0.16721879,604,0.25093479,912,0.24695632,0.301778894,-0.168068998,0.618757705,0.604222663
13.493084664,44.14464316666666,0.302271407,0,0,1,2,3,2000,0.0,2000,1.562E-6,894,1.222E-6,942,2.35E-7,976,2.26E-7,0.179925549,-0.079903054,0.765345067,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,13.788639822,44.14464316666666,0.332958858,5,3,4,1,2,949,13.671000157,837,1.570006512,931,0.20011358,677,0.236480755,658,0.246922827,0.151538638,0.648834268,0.019096124,0.632245091
14.176574037,53.45563783333334,0.372311211,0,0,1,2,3,2000,0.0,2000,1.562E-6,886,1.016E-6,960,3.67E-7,957,2.4E-7,0.20267382,-0.115500567,0.765345067,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,14.442415272,52.22229683333333,0.317415983,5,3,4,1,2,978,14.370794294,778,2.252376476,936,0.179911261,577,0.267483079,747,0.332319984,0.149423406,0.814050977,1.607E-6,0.631972821
14.789167403,55.808380833333345,0.350837876,0,0,2,1,3,2000,0.0,2000,1.562E-6,886,2.646E-6,962,1.64E-7,971,8.18E-7,0.334845665,-0.202493969,0.765345067,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,15.107860355,55.808380833333345,0.334669757,5,3,4,1,2,975,14.988794407,777,2.904518802,932,0.183869481,572,0.234987505,704,0.282751369,0.132312098,0.813564615,5.65E-7,0.601169164
15.424989087,47.818621333333326,0.303391505,0,0,1,2,3,2000,0.0,2000,1.562E-6,893,8.89E-7,967,2.06E-7,942,2.5E-7,0.218031898,-0.081691073,0.765345067,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,15.744405759,47.818621333333326,0.335894819,4,2,3,1,5,949,15.624374209,796,3.556880421,921,0.200900725,609,0.200003915,982,0.251945639,0.297264407,0.020840371,0.604102271,-0.152452518
16.094111941,58.08972416666667,0.337063719,0,0,2,1,3,2000,0.0,2000,1.562E-6,884,1.947E-6,955,3.28E-7,991,2.36E-7,0.318431093,-0.203198564,0.765345067,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,16.428325937,56.205653500000004,0.334037417,5,1,3,2,4,966,16.322488677,797,4.204389194,930,0.181436442,603,0.249349054,790,0.303560897,0.264121809,0.668540747,-0.168041934,0.682224768
16.790843296,57.73902783333334,0.350127434,0,0,1,2,3,2000,0.0,2000,1.562E-6,905,1.552E-6,940,5.13E-7,962,1.22E-7,0.251034105,-0.135142886,0.765345067,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,17.110018858,47.57847366666666,0.319109633,5,1,2,3,4,958,16.926344227,823,4.873821522,921,0.20393038,629,0.182846827,827,0.2682827,0.251843515,-0.100845755,0.146766626,0.817531286
17.440842126,58.21918266666666,0.364465414,0,0,2,1,3,2000,0.0,2000,1.562E-6,887,1.944E-6,963,3.29E-7,955,2.1E-7,0.349310649,-0.216303261,0.765345067,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,17.72569492,58.21918266666666,0.300001056,5,1,4,2,3,961,17.607418066,816,5.5215409,921,0.148379303,622,0.23291234,804,0.299834449,0.197464239,-0.064003011,0.765063367,0.587100176
18.076454937,47.613207166666676,0.336939073,0,0,1,2,3,2000,0.0,2000,1.562E-6,886,1.535E-6,958,1.63E-7,972,1.75E-7,0.200790429,-0.081431982,0.765345067,0.0,,,,,,,,,,,,,,,,,,,,,,,
