TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,,,,,,,9.996069449,145.56177300000002,0.788691089,5,1,2,3,4,997,9.290411642,778,9.790901642,972,9.721729236,630,9.674954194,641,9.227800018,0.764726554,1.32E-6,-0.363969176,9.905912424
10.723843351,167.19371550000002,0.934224367,0,0,3,2,1,2000,0.0,2000,0.0,906,7.45E-7,965,2.66E-7,938,1.91E-7,0.768190003,10.706821602,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,11.291734658,186.9909765,0.833338636,5,3,4,2,1,967,11.175167826,831,10.99048639,943,0.416815651,695,0.298657503,617,0.465233271,0.749547297,1.285198857,0.018985181,1.649166176
,,,,,,,,,,,,,,,,,,,,,,,11.542763371,75.31830400000001,0.035132213,0,0,0,0,1,2000,11.175167826,2000,10.99048639,2000,0.416815651,2000,0.298657503,1010,0.065275422,0.749547297,1.285198857,0.018985181,1.649166176
11.842031329,117.382791,0.635672751,0,0,2,3,1,2000,0.0,2000,0.0,893,1.134E-6,978,3.89E-7,966,2.42E-7,0.583102895,-0.100574329,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,12.357886209,149.58505025000002,0.681996162,5,2,4,3,1,967,12.276775006,818,12.124041222,960,0.46681238,689,0.318400613,507,0.300295467,0.630797657,-0.029907456,1.049389758,1.000493261
,,,,,,,,,,,,,,,,,,,,,,,12.409485573,25.011912499999998,0.035208397,0,0,0,0,1,2000,12.276775006,2000,12.124041222,2000,0.46681238,2000,0.318400613,1008,2.536E-6,0.630797657,-0.029907456,1.049389758,1.000493261
12.878149225,108.36970999999998,0.603919642,0,0,3,2,1,2000,0.0,2000,0.0,878,1.602E-6,992,2.18E-7,923,1.17E-7,0.433475632,1.069511248,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,13.311011173,137.9266385,0.603301742,5,3,4,2,1,955,13.126067925,853,13.09278193,944,0.233812914,729,0.283595133,490,0.19878474,0.498447531,0.985585187,4.15E-7,0.985583981
13.742919842,91.3059495,0.483504156,0,0,2,3,1,2000,0.0,2000,0.0,888,1.32E-6,974,1.66E-7,916,6.3E-7,0.466041359,-0.116042426,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
