TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,,,,,,,20.401014725,3.949355,6.092459478,1,2,3,4,5,951,5.825703355,958,5.795876892,930,5.828429261,993,5.42802577,977,2.126049531,0.013439075,6.33923E-4,5.57953E-4,4.6077E-4
21.355644754,1706.2170997499998,7.062928008,1,4,2,3,0,942,6.772920677,953,5.73607E-4,972,6.642819799,977,6.391854094,2000,0.0,0.014573797,6.51344E-4,6.409713385,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,21.927272636,75.87400749999999,0.809692745,4,1,2,5,3,940,0.554181722,956,0.44040785,919,0.537469423,993,0.19937422,991,0.083128244,0.104270631,6.69156E-4,0.033445338,0.002545496
22.466393753,239.2007735,1.045323241,4,5,1,2,3,944,0.449799117,964,3.17572E-4,971,0.588254295,987,0.134030594,1005,0.067905619,0.405255913,0.014953865,0.018089162,0.083951684,,,,,,,,,,,,,,,,,,,,,,,,
22.523425899,30.64959525,0.022926003,0,0,1,0,0,2000,0.449799117,2000,3.17572E-4,1010,0.014147417,2000,0.134030594,2000,0.067905619,0.0,0.014953865,0.018089162,0.083951684,,,,,,,,,,,,,,,,,,,,,,,,
22.562598529,40.719506,0.021851388,0,0,1,0,0,2000,0.449799117,2000,3.17572E-4,1011,0.015445486,2000,0.134030594,2000,0.067905619,0.0,0.014953865,0.018089162,0.083951684,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,22.918292632,54.8423345,0.540399113,5,1,2,3,4,944,0.302832262,957,0.18491035,910,0.170449079,995,0.091926304,984,0.006903683,0.014534996,3.27103E-4,2.61264E-4,0.006358338
23.408326697,172.33945025,0.81109202,4,5,1,2,3,946,0.417639458,967,0.034145823,966,0.387181591,988,0.081951878,996,0.049386828,0.222499323,3.46603E-4,0.030321962,0.08395929,,,,,,,,,,,,,,,,,,,,,,,,
23.644020584,34.77466675,0.218298218,0,0,1,0,0,2000,0.417639458,2000,0.034145823,1008,0.150284275,2000,0.081951878,2000,0.049386828,0.0,3.46603E-4,0.030321962,0.08395929,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,23.749912985,93.42195425,0.46329381,4,1,2,5,3,939,0.151626567,959,0.157608479,900,0.161911783,998,0.047793169,991,0.023739487,0.014505184,3.01339E-4,0.041421976,4.66025E-4
