TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
13.12417769,0,0.906746142,0,0,0,1,2,2000,0,2000,0,2000,0,980,0.124912288,929,0.136182477,0.00273367,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,13.65837778,0,1.437268827,0,2,0,0,1,2000,0,999,0.298650597,2000,0,2000,0,933,1.303291017,0.836265541,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,14.95725244,0,0.065384314,0,0,0,0,1,2000,0,2000,0.298650597,2000,0,2000,0,1008,0.048694326,0.836265541,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,15.02366639,0,0.013860292,0,0,0,0,1,2000,0,2000,0.298650597,2000,0,2000,0,1008,3.70E-07,0.836265541,0,0,0
15.22616799,0,1.716687215,4,0,3,1,2,974,0.134916099,2000,0,977,0.116430911,957,1.565025,892,1.284926291,0.014018488,2.789490783,15.04052397,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,16.82991891,0,1.788558575,4,3,2,5,1,999,0.099537652,963,0.384511013,980,0.150299863,1003,0.133068745,933,1.469061166,0.134122257,2.133406575,15.22620645,0.099539559
18.33583165,0,1.742509601,0,0,0,2,1,2000,0.134916099,2000,0,2000,0.116430911,967,0.79180466,894,1.392155414,0.06657724,2.789490783,15.04052397,0,,,,,,,,,,,,,,,,,,,,,,,
23.33464299,0,3.966184473,0,0,0,2,1,2000,0.134916099,2000,0,2000,0.116430911,995,2.199710929,936,0.901832774,0.034391626,2.789490783,15.04052397,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,24.41819065,0,6.285987181,5,2,3,4,1,996,0.266293266,986,0.980546044,977,0.782079683,994,0.430907569,922,0.385499538,4.987483018,0.231639727,0.418587448,8.708309407
25.45341352,0,1.452045281,0,3,0,2,1,2000,0.134916099,1010,0.23323557,2000,0.116430911,979,0.984258734,896,0.615647991,0.218795264,5.39791838,15.04052397,0,,,,,,,,,,,,,,,,,,,,,,,
25.8019777,0,0.11665637,2,0,0,1,0,1007,0.068632958,2000,0.23323557,2000,0.116430911,986,1.90E-07,2000,0.615647991,0.014832282,5.39791838,15.04052397,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26.51990292,0,1.200437552,5,2,4,3,1,973,0.232745386,980,0.484446442,951,0.249274743,975,0.417450277,930,0.516668183,0.516270935,0.183865849,2.7351212,2.434398227
27.20210972,0,0.882538855,5,3,4,2,1,932,0.282783588,1004,0.016235935,979,0.284178326,933,0.566023157,900,0.351206873,0.132565345,0.985356232,0.084552733,11.81091668,,,,,,,,,,,,,,,,,,,,,,,
27.75269187,0,0.050665065,0,0,0,0,1,2000,0.282783588,2000,0.016235935,2000,0.284178326,2000,0.566023157,970,0.033283993,0.132565345,0.985356232,0.084552733,11.81091668,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,27.8199659,0,0.765720128,4,2,3,5,1,967,0.301397868,991,0.167178986,930,0.300126104,965,0.233723624,926,0.248223173,0.26608889,0.051080844,1.399881008,8.90E-04
28.40446077,0,0.63572,3,0,4,1,2,904,0.416235953,2000,0.016235935,978,0.297774057,943,0.202521248,908,0.118792397,0.001072476,1.453232872,0.015600823,11.81091668,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,28.95574661,0,0.634137186,4,2,3,5,1,938,0.25259385,992,0.234106849,928,0.300148844,982,0.165918619,908,0.049507004,0.182420701,5.57E-04,1.231717651,0.035684602
29.40271852,0,0.547499318,4,0,3,2,1,918,0.266070084,2000,0.016235935,948,0.267772513,981,0.198007806,898,0.11304051,0.033054246,1.217425044,1.149563433,11.81091668,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,29.73900472,0,0.417998448,5,2,3,4,1,960,0.131698925,962,0.1476989,944,0.101541308,981,0.101133851,917,0.081738614,0.117130556,0.066495095,4.08E-04,0.95098818
29.80329386,0,0.033195271,0,0,0,0,1,2000,0.266070084,2000,0.016235935,2000,0.267772513,2000,0.198007806,939,0.01797476,0.033054246,1.217425044,1.149563433,11.81091668,,,,,,,,,,,,,,,,,,,,,,,
30.15527828,0,0.335162422,3,0,4,1,2,908,0.18368373,2000,0.016235935,949,0.13084198,932,0.150696341,895,1.98E-07,0.001020967,0.999719135,5.37E-04,11.81091668,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,30.49369275,0,0.321152009,3,2,4,5,1,955,0.114256757,941,0.115219557,929,0.099120808,956,0.098707192,938,0.069637443,0.085012615,0.8541228,7.80E-04,4.14E-04
30.92568733,0,0.285252144,3,0,4,1,2,912,0.183673706,2000,0.016235935,948,0.10074764,923,0.119230101,887,0.015002584,7.05E-04,0.885668444,6.08E-04,11.81091668,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,31.27575753,0,0.266957233,5,2,3,4,1,951,0.115040481,953,0.151913174,916,0.132712632,972,0.132540172,947,1.00E-07,0.015514499,0.034668348,1.73E-04,0.799326416
