StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
11.54720375,0.452348985,0,1,2,3,4,2000,0,1002,2.73E-06,985,1.24E-07,984,47224.64052,911,1.92E-05,0.430026474,-0.133006646,-0.134019366,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,236.1571408,1.145571238,0,0,3,2,1,2000,0,2000,0,927,0.483128431,970,0.566560567,944,0.300557937,0.959344213,9.907958116,0,0
250.091309,1.41709911,2,4,5,3,1,960,8.29E-07,998,3.60E-07,975,3.09E-07,985,47224.64052,878,2.18E-06,1.402077048,-0.068229239,1.951514414,6.15E-07,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,579.351048,2.717852369,0,0,3,2,1,2000,0,2000,0,956,2.082406765,926,2.098654856,902,0.648538717,2.700005432,3.685654455,0,0
287.1628638,1.31775856,4,3,5,2,1,969,9.56E-07,926,2.54E-06,950,2.43E-07,938,47224.64052,898,2.37E-06,1.281196335,3.213971191,2.981135434,0.301066668,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,287.1628638,0.604315074,5,4,3,2,1,981,0.585123257,958,47224.80797,908,0.201637075,912,0.184534018,964,0.384445401,0.583315677,1.299289331,1.199737061,14.67534442
113.326816,0.469919279,5,1,2,3,4,898,1.49E-06,952,6.58E-07,881,3.04E-07,942,47224.64052,981,2.09E-06,0.453302266,-0.218082483,-0.10083048,1.183249141,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,113.326816,0.33410183,4,3,1,2,0,967,0.25285905,954,47224.97522,896,0.165054096,905,0.367369668,2000,0.384445401,0.265141513,0.701355367,0.800270275,14.67534442
108.1979073,0.517788811,2,4,5,3,1,995,1.03E-06,946,1.84E-06,911,3.86E-07,929,47224.64052,892,1.62E-06,0.065330439,0.2669336,1.150574381,-0.050709788,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,108.1979073,0.42083708,4,5,3,2,1,982,0.652398972,973,47224.7904,897,0.200597224,913,0.283029666,936,0.332352035,0.365676396,0.998345644,0.966558651,-0.10048665
120.7182012,0.369988869,0,3,4,1,2,2000,1.03E-06,967,2.64E-06,903,6.75E-07,945,47224.64052,884,2.74E-06,0.134214043,1.133679103,0.067372087,-0.050709788,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,95.71629825,0.31968197,4,5,2,3,1,995,1.381864448,958,47224.95752,908,0.249631052,897,0.300116455,936,0.314657088,0.301639418,8.12E-07,0.616209851,0.103064146
104.4510583,0.319079608,0,3,4,2,1,2000,1.03E-06,949,6.22E-06,904,8.64E-07,926,47224.64052,921,1.37E-06,0.231636917,0.931235387,0.035508579,-0.050709788,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,96.0246755,0.284802973,5,4,3,2,1,982,2.284553851,959,47224.95894,899,0.26631913,896,0.318521606,936,0.285698821,0.249468676,0.749731553,0.74972876,0.902689263
99.41153925,0.320447324,0,4,2,3,1,2000,1.03E-06,953,1.61E-06,895,2.55E-07,929,47224.64052,919,1.01E-05,0.268064261,-0.033104322,0.751922198,-0.050709788,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,96.35969875,0.319050782,4,5,3,2,1,966,3.018886567,961,47224.95611,891,0.282484657,900,0.284412242,957,0.28234839,0.297681206,0.831295592,0.765939482,-0.03162244
91.682404,0.268839106,0,3,4,1,2,2000,1.03E-06,942,1.55E-06,894,3.35E-07,920,47224.64052,941,3.08E-06,0.114870566,0.731966567,1.71E-05,-0.050709788,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,91.6108545,0.300000681,4,5,3,2,1,956,3.767768842,964,47224.95982,889,0.319292587,907,0.267151816,965,0.266870886,0.249278957,0.717883583,0.668099762,-0.01619672
91.5053955,0.302501764,0,2,3,4,1,2000,1.03E-06,946,2.26E-06,891,4.02E-07,926,47224.64052,925,2.51E-06,0.249975036,0.017922835,-0.032870885,-0.050709788,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,99.88177225,0.25184893,5,4,3,1,2,946,4.516156408,959,47224.93892,886,0.280484706,908,0.28026024,949,0.266068142,0.115760548,0.750956602,0.682405589,0.732188772
87.3083315,0.304711944,0,3,4,2,1,2000,1.03E-06,945,3.24E-06,884,4.04E-07,923,47224.64052,921,3.33E-06,0.21665796,0.751051846,0.03054117,-0.050709788,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,92.2844855,0.285124596,5,4,2,3,1,977,5.249579226,948,47224.95588,888,0.253704391,891,0.319854946,965,0.363822727,0.214300238,0.05083136,0.697984147,0.733421211
103.8227678,0.235976665,0,3,4,1,2,2000,1.03E-06,946,1.30E-06,884,3.13E-07,922,47224.64052,898,2.48E-05,0.101491375,0.784822187,2.98E-06,-0.050709788,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,84.07125,0.270201195,5,4,3,2,1,978,5.988267114,951,47224.96116,896,0.285488653,888,0.285488731,925,0.282504654,0.250946619,0.788221404,0.68785679,0.768072293
95.44466025,0.287028169,0,3,4,2,1,2000,1.03E-06,946,2.00E-06,896,5.50E-07,918,47224.64052,886,1.99E-06,0.249240968,0.886328018,2.00E-06,-0.050709788,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,91.97800925,0.25274418,4,5,3,2,1,981,6.751732364,969,47224.90643,895,0.265912986,896,0.286431144,925,0.282880011,0.231748245,0.730491446,0.713752652,1.82E-04
96.59271175,0.252087501,0,2,4,3,1,2000,1.03E-06,947,2.18E-06,905,6.38E-07,918,47224.64052,893,2.28E-06,0.233359667,-0.016674155,0.717888589,-0.050709788,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,91.43822625,0.269400243,5,4,3,2,1,991,7.490139464,961,47224.92314,898,0.282621592,890,0.29929843,924,0.286276055,0.249393148,0.752477587,0.670603235,0.738584627
